Alimentador,LLL,LLT,LL,LT,Enlace a maps
COV01,9084,12880,7867,12566,"https://maps.google.com/?q=-25.4721811766,-56.4478833498"
COV01,8762,10506,7588,10811,"https://maps.google.com/?q=-25.4732739139,-56.4489875315"
COV01,8661,10175,7500,10484,"https://maps.google.com/?q=-25.4732361968,-56.4494755194"
COV01,8621,10068,7466,10369,"https://maps.google.com/?q=-25.4733876003,-56.449491519"
COV01,8422,9564,7294,9813,"https://maps.google.com/?q=-25.4741573082,-56.4495682229"
COV01,7953,8544,6887,8655,"https://maps.google.com/?q=-25.4760241663,-56.4497556139"
COV01,7851,8348,6799,8428,"https://maps.google.com/?q=-25.4764422359,-56.4497976125"
COV01,7718,8103,6684,8144,"https://maps.google.com/?q=-25.4769935238,-56.4498592045"
COV01,7387,7536,6397,7486,"https://maps.google.com/?q=-25.4784163737,-56.4500018678"
COV01,7135,7142,6179,7029,"https://maps.google.com/?q=-25.479546233,-56.450112797"
COV01,6708,6543,5810,6323,"https://maps.google.com/?q=-25.4815823445,-56.4503798352"
COV01,6102,5916,5284,5442,"https://maps.google.com/?q=-25.484702214,-56.451380439"
COV01,5961,5776,5162,5254,"https://maps.google.com/?q=-25.4855172508,-56.4515524327"
COV01,5868,5684,5082,5133,"https://maps.google.com/?q=-25.4860724743,-56.451660174"
COV01,5758,5583,4987,5012,"https://maps.google.com/?q=-25.4863041665,-56.4512112974"
COV01,5750,5576,4980,5003,"https://maps.google.com/?q=-25.4863374493,-56.4512227987"
COV01,5300,5165,4590,4533,"https://maps.google.com/?q=-25.4873888582,-56.44928298"
COV01,5006,4897,4335,4241,"https://maps.google.com/?q=-25.4862645344,-56.4486622725"
COV01,,,,3599,"https://maps.google.com/?q=-25.4903922438,-56.4444192246"
COV01,,,,3226,"https://maps.google.com/?q=-25.4887213493,-56.4430496832"
COV01,5143,4984,4454,4264,"https://maps.google.com/?q=-25.4909537395,-56.4526888514"
COV01,4867,4736,4215,4006,"https://maps.google.com/?q=-25.4911467391,-56.4510945351"
COV01,5094,4937,4412,4209,"https://maps.google.com/?q=-25.4913232206,-56.4527669992"
COV01,5056,4901,4379,4167,"https://maps.google.com/?q=-25.4916159938,-56.4528293569"
COV01,4808,4665,4164,3899,"https://maps.google.com/?q=-25.4936265369,-56.4532526806"
COV01,4707,4569,4077,3794,"https://maps.google.com/?q=-25.4944929386,-56.4534373616"
COV01,4500,4372,3897,3582,"https://maps.google.com/?q=-25.4963893562,-56.4538402643"
COV01,4241,4127,3673,3326,"https://maps.google.com/?q=-25.49899134,-56.4543902343"
COV01,4212,4099,3648,3298,"https://maps.google.com/?q=-25.499299667,-56.454454794"
COV01,3819,3726,3307,2929,"https://maps.google.com/?q=-25.5039137253,-56.4554346342"
COV01,3715,3627,3218,2835,"https://maps.google.com/?q=-25.505284689,-56.4557258212"
COV01,3653,3568,3164,2779,"https://maps.google.com/?q=-25.5061419895,-56.4559052489"
COV01,3531,3452,3058,2670,"https://maps.google.com/?q=-25.5079290897,-56.4560329935"
COV01,3416,3342,2958,2570,"https://maps.google.com/?q=-25.5096699929,-56.4555871694"
COV01,3409,3336,2952,2565,"https://maps.google.com/?q=-25.509683576,-56.4556675314"
COV01,3413,3339,2956,2567,"https://maps.google.com/?q=-25.5097183663,-56.4555684282"
COV01,3406,3333,2950,2561,"https://maps.google.com/?q=-25.5098228181,-56.4555279606"
COV01,3304,3235,2861,2473,"https://maps.google.com/?q=-25.5114357862,-56.4549039876"
COV01,2998,2942,2596,2214,"https://maps.google.com/?q=-25.517070468,-56.4543613773"
COV01,2889,2837,2502,2124,"https://maps.google.com/?q=-25.5193984335,-56.4546551329"
COV01,2843,2794,2463,2087,"https://maps.google.com/?q=-25.5204116345,-56.4547963576"
COV01,2768,2722,2398,2026,"https://maps.google.com/?q=-25.5221649204,-56.4550457479"
COV01,2676,2632,2317,1951,"https://maps.google.com/?q=-25.5244621685,-56.4553771845"
COV01,2597,2557,2249,1888,"https://maps.google.com/?q=-25.5265215162,-56.4556948743"
COV01,2442,2406,2115,1765,"https://maps.google.com/?q=-25.531008334,-56.4563068979"
COV01,2324,2293,2013,1673,"https://maps.google.com/?q=-25.5344553897,-56.4579309748"
COV01,2274,2244,1970,1634,"https://maps.google.com/?q=-25.5358880297,-56.4589863419"
COV01,2108,2091,1826,1528,"https://maps.google.com/?q=-25.5378930317,-56.4553563849"
COV01,2093,2078,1813,1518,"https://maps.google.com/?q=-25.5378453546,-56.455074563"
COV01,2097,2081,1816,1521,"https://maps.google.com/?q=-25.5381404036,-56.4554904256"
COV01,2225,2196,1927,1595,"https://maps.google.com/?q=-25.5373998374,-56.4600670847"
COV01,2217,2189,1920,1590,"https://maps.google.com/?q=-25.5376251015,-56.4602315144"
COV01,2152,2126,1864,1540,"https://maps.google.com/?q=-25.5396941292,-56.4617668072"
COV01,,,,1469,"https://maps.google.com/?q=-25.5385560685,-56.4646162478"
COV01,,,,1450,"https://maps.google.com/?q=-25.5381106196,-56.4653762493"
COV01,,,,1381,"https://maps.google.com/?q=-25.5359448019,-56.4677266809"
COV01,,,,1260,"https://maps.google.com/?q=-25.5324775271,-56.4733490723"
COV01,,,,1187,"https://maps.google.com/?q=-25.5301790232,-56.4774150487"
COV01,,,,1057,"https://maps.google.com/?q=-25.5292679489,-56.486428823"
COV01,,,,947,"https://maps.google.com/?q=-25.5375855421,-56.4874849328"
COV01,,,,1055,"https://maps.google.com/?q=-25.529282628,-56.4865993329"
COV01,,,,1440,"https://maps.google.com/?q=-25.5391189977,-56.4658147371"
COV01,2137,2111,1851,1528,"https://maps.google.com/?q=-25.5402009771,-56.4621433586"
COV01,,,,1518,"https://maps.google.com/?q=-25.5404012979,-56.4617601189"
COV01,2132,2107,1847,1525,"https://maps.google.com/?q=-25.5403512493,-56.4622539362"
COV01,2128,2103,1843,1522,"https://maps.google.com/?q=-25.5402905592,-56.4623531122"
COV01,2004,1982,1736,1427,"https://maps.google.com/?q=-25.5453946024,-56.4642786236"
COV01,1985,1963,1719,1412,"https://maps.google.com/?q=-25.5462702659,-56.4643222289"
COV01,,,,1400,"https://maps.google.com/?q=-25.5463190301,-56.463690166"
COV01,1927,1907,1669,1369,"https://maps.google.com/?q=-25.5490193481,-56.4644889837"
COV01,1883,1864,1630,1335,"https://maps.google.com/?q=-25.5512433066,-56.4646275634"
COV01,1873,1855,1622,1328,"https://maps.google.com/?q=-25.5517196605,-56.464658213"
COV01,1871,1853,1621,1327,"https://maps.google.com/?q=-25.551833389,-56.4646631494"
COV01,1805,1788,1563,1277,"https://maps.google.com/?q=-25.5553758314,-56.4646365571"
COV01,,,,1270,"https://maps.google.com/?q=-25.5553600346,-56.4641704414"
COV01,1796,1779,1555,1270,"https://maps.google.com/?q=-25.5558884979,-56.4645850349"
COV01,1730,1714,1498,1221,"https://maps.google.com/?q=-25.5597238142,-56.4639616667"
COV01,1726,1710,1494,1218,"https://maps.google.com/?q=-25.5599777701,-56.4639230644"
COV01,1605,1592,1390,1129,"https://maps.google.com/?q=-25.5661191303,-56.4586253636"
COV01,1598,1586,1384,1125,"https://maps.google.com/?q=-25.5663189176,-56.4588632579"
COV01,1544,1533,1337,1084,"https://maps.google.com/?q=-25.5696631738,-56.455833339"
COV01,1502,1491,1300,1053,"https://maps.google.com/?q=-25.5729366502,-56.4564386602"
COV01,1356,1356,1175,966,"https://maps.google.com/?q=-25.5708867418,-56.4646046308"
COV01,1470,1460,1273,1030,"https://maps.google.com/?q=-25.575450955,-56.4571028249"
COV01,1441,1431,1248,1009,"https://maps.google.com/?q=-25.5777925577,-56.4580279608"
COV01,1414,1407,1225,993,"https://maps.google.com/?q=-25.5783353803,-56.4566034893"
COV01,1392,1386,1206,980,"https://maps.google.com/?q=-25.5788013108,-56.4553628983"
COV01,1319,1317,1142,936,"https://maps.google.com/?q=-25.5827638621,-56.4572452394"
COV01,1313,1312,1137,932,"https://maps.google.com/?q=-25.5830815977,-56.4573910406"
COV01,1281,1282,1110,913,"https://maps.google.com/?q=-25.5836720253,-56.4548539133"
COV01,1382,1377,1197,974,"https://maps.google.com/?q=-25.5790230066,-56.4548071288"
COV01,1337,1334,1158,947,"https://maps.google.com/?q=-25.5800466566,-56.452113764"
COV01,1320,1319,1143,937,"https://maps.google.com/?q=-25.5805924272,-56.4511734367"
COV01,1252,1254,1084,895,"https://maps.google.com/?q=-25.5830234385,-56.4471078298"
COV01,1225,1229,1061,879,"https://maps.google.com/?q=-25.584121033,-56.445451805"
COV01,1205,1210,1043,866,"https://maps.google.com/?q=-25.5849225329,-56.4440996869"
COV01,1186,1192,1027,855,"https://maps.google.com/?q=-25.5856707499,-56.442841294"
COV01,1126,1134,975,824,"https://maps.google.com/?q=-25.58633581,-56.438696957"
COV01,1017,1029,881,767,"https://maps.google.com/?q=-25.5877427445,-56.4300064698"
COV01,920,933,797,712,"https://maps.google.com/?q=-25.5890204741,-56.4204231817"
COV01,846,860,732,667,"https://maps.google.com/?q=-25.5942135768,-56.4135731488"
COV01,,,,607,"https://maps.google.com/?q=-25.5868400573,-56.3975509976"
COV01,,,,566,"https://maps.google.com/?q=-25.5832861005,-56.3926121293"
COV01,,,,723,"https://maps.google.com/?q=-25.5942645802,-56.4322348472"
COV01,,,,811,"https://maps.google.com/?q=-25.5846364412,-56.4384526564"
COV01,1180,1187,1022,851,"https://maps.google.com/?q=-25.5862753288,-56.44315849"
COV01,,,,835,"https://maps.google.com/?q=-25.5872053811,-56.4497792335"
COV01,,,,831,"https://maps.google.com/?q=-25.5870622882,-56.4503104145"
COV01,,,,831,"https://maps.google.com/?q=-25.5869825671,-56.4502834669"
COV01,,,,835,"https://maps.google.com/?q=-25.5778094701,-56.4418230281"
COV01,,,,915,"https://maps.google.com/?q=-25.5803172807,-56.4496633311"
